Depth,A,B,C,D,E,FCA,FCB,FCC,FCD,FCE,CLA,CLB,CLC,CLD,CLE,ELA,ELB,ELC,ELD,ELE
210.85,14.289999,11.41,14.23,16.49,16.3,16.0630207,13.24822001,15.71571421,16.50721997,17.42726785,16.2839847,13.7040236,16.23272898,16.16546313,17.22317099,13.78856304,11.94838325,13.91298742,16.36750256,16.6688212
210.9,14.39,11.51,14.08,16.19,16.5,16.12925837,13.34207493,15.59229795,16.26619695,17.58376974,16.32555551,13.76217555,16.15784636,15.93724828,17.36666447,13.8908597,12.04798625,13.75896765,16.06539699,16.85904335
210.95,14.4,11.6,13.95,15.95,16.7,16.12260273,13.41276436,15.47216991,16.08025206,17.74527672,16.29689094,13.80232253,16.06304118,15.77220215,17.5147497,13.90029852,12.13874843,13.62444342,15.82243506,17.0504923
211,14.33,11.69,13.81,15.790001,16.79,16.05032297,13.47615637,15.34461877,15.96489304,17.82437376,16.20814344,13.84741598,15.9522707,15.68143718,17.58799245,13.82864729,12.21864771,13.47970944,15.66112696,17.13574431
211.05,14.23,11.75,13.71,15.7,16.8,15.9633634,13.49760268,15.26599146,15.91220835,17.84273379,16.11951098,13.84681616,15.89318864,15.65344529,17.59132011,13.7255753,11.49022907,13.37709002,15.57117116,17.14260319
211.1,14.1,11.81,13.67,15.65,16.63,15.85099879,13.52699157,15.22647212,15.89126108,17.7130179,16.00173461,13.84642668,15.85267998,15.65998742,17.46369188,13.59316526,11.55028974,13.33441453,15.52381801,16.97491094
211.15,13.95,11.85,13.7,15.63,16.3,15.73723211,13.54455058,15.25083051,15.89220714,17.44352701,15.89990231,13.84242863,15.85832876,15.68454334,17.18390256,13.4413707,11.59026354,13.36458918,15.5066128,16.65982261
211.2,13.759999,11.92,13.78,15.61,15.87,15.58537463,13.5941304,15.3151509,15.88939437,17.09613868,15.77069487,13.87414768,15.8780691,15.69896409,16.85493874,13.25115459,11.65995104,13.44820403,15.71798286,15.61077854
211.25,13.57,12.03,13.86,15.64,15.49,15.42995925,13.67096816,15.38194228,15.91826416,16.78268272,15.62343067,13.91974654,15.92909029,15.73470926,16.55276793,13.06113681,11.77036378,13.53015867,15.7671386,15.22120435
211.3,13.41,12.18,13.87,15.689999,15.2699995,15.3002509,13.78117873,15.39009058,15.9627468,16.6002277,15.48341411,13.99369224,15.94958436,15.77498257,16.38063775,12.90253621,11.92305856,13.53997408,15.81978749,14.99423185
211.35,13.28,12.700001,13.78,15.82,15.24,15.20120956,14.19026855,15.32025118,16.0706725,16.56988483,15.3881296,14.26414438,15.90592645,15.88008512,16.35258999,12.77356065,12.45056056,13.44921912,15.950135,14.96005009
211.4,13.2,13.260001,13.67,16.04,15.38,15.1293654,14.64042329,15.24266841,16.25112471,16.67106425,15.30159545,14.68480245,15.8639398,16.05171091,16.43156505,12.69502191,13.02200952,13.33776993,16.16867268,15.09963086
211.45,13.15,13.46,13.59,16.36,15.69,15.08551293,14.80901624,15.19413385,16.51508877,16.91471701,15.24795245,14.93192112,15.81874132,16.31174404,16.64391541,12.64430528,13.22987462,13.26122985,16.47719909,15.41194627
211.5,13.14,13.179999,13.6,16.71,16.08,15.07636052,14.60729872,15.22604142,16.79206432,17.22569451,15.24934493,14.82216245,15.82660708,16.58181648,16.95031359,12.63101317,12.95465515,13.27821207,16.8219847,15.80821308
211.55,13.14,12.729999,13.68,16.96,16.5,15.06262382,14.27410717,15.29408257,16.9787612,17.561093,15.24963613,14.55044155,15.85764038,16.75163217,17.29220347,12.62616883,12.50790458,13.36213798,16.84568814,16.23635102
211.6,13.12,12.58,13.86,16.99,16.91,15.02407645,14.17568114,15.4526348,16.99160287,17.88600116,15.22762541,14.40575291,15.98642564,16.74153627,17.62061255,12.60021973,12.36278893,13.5481799,16.87573097,16.65553853
211.65,13.1,12.549999,14.16,16.83,17.33,14.98959209,14.17277792,15.70333531,16.84874463,18.22491922,15.19533224,14.3812525,16.2137939,16.5743231,17.97377359,12.57510169,12.33908494,13.85406641,16.71262778,17.08327944
211.7,13.07,12.64,14.59,16.62,17.8,14.9534624,14.2625575,16.06318934,16.67411894,18.5932618,15.16280599,14.45308954,16.54571051,16.38904011,18.32710245,12.54252631,12.43568104,14.2921603,16.49916289,17.56162677
211.75,13.06,12.76,15.13,16.48,18.25,14.94709316,14.36483813,16.50902016,16.55993239,18.95283265,15.14538616,14.53600873,16.96494295,16.27760625,18.68701671,12.53248292,12.56267391,14.8398338,16.35692611,18.01801137
211.8,13.06,12.83,15.73,16.47,18.62,14.95846791,14.42256419,17.00594212,16.55314249,19.24794102,15.1479722,14.58070007,17.45683364,16.27847376,18.97102096,12.53387361,12.63757471,15.44663447,16.34722295,18.39127979
211.85,13.05,12.83,16.17,16.54,18.87,14.97198711,14.41344055,17.3693761,16.61157861,19.430006,15.16576772,14.5426387,17.82070201,16.34205487,19.10047113,12.52687883,12.64145049,15.89121921,16.41909565,18.64248213
211.9,13.04,12.78,16.34,16.62,18.99,14.99726933,14.3795519,17.49669809,16.67751736,19.51151546,15.21901826,14.50626679,17.9027206,16.40986725,19.15351405,12.51743702,12.59407335,16.06250833,16.50174115,18.76315048
211.95,13.03,12.740001,16.2,16.63,18.99,15.01492704,14.35484412,17.37022001,16.67973407,19.48794601,15.28693961,14.48205403,17.76755309,16.40640876,19.10006479,12.50584837,12.55676678,15.9169019,16.51442226,18.76492968
212,13.04,12.81,15.910001,16.47,18.88,15.03249487,14.41060943,17.10534694,16.54643807,19.38700124,15.36364848,14.10269129,17.07818901,16.79469457,18.9266915,12.51228231,12.63077936,16.09477205,16.35520265,18.65650757
212.05,13.08,13.05,15.609999,16.18,18.72,15.0664178,14.61173902,16.86471262,16.31174173,19.25196172,14.57630229,14.1297307,16.89566768,16.14244065,18.81529446,13.59343789,12.87598671,15.93044865,16.06409168,18.49833991
212.1,13.14,13.43,15.4,15.82,18.57,15.0946168,14.92115188,16.7179549,16.02411524,19.13018545,14.74265263,14.61256851,16.8583589,15.78685161,18.71804718,12.61139556,13.26237261,15.11375154,15.70199921,18.35043881
