Depth,RES,DEN,NG,CAL,FCRES,FCDEN,FCNG,FCCAL,CLRES,CLDEN,CLNG,CLCAL,ELRES,ELDEN,ELCG,ELCAL
52.55,18.34,2.48,4.83,166.89,17.46793729,2.445095579,3.846101293,155.3256385,17.68128103,2.414270245,5.30660695,147.2711308,17.86811381,2.486662413,4.899451657,167.3197176
52.6,19.12,2.4700003,4.36,164.22,18.09806741,2.439426959,3.610142309,153.1265836,18.25285262,2.413807751,5.180149889,146.3333139,18.65940343,2.476349762,4.442172846,164.670281
52.65,20.31,2.48,4.24,163.11,19.06853488,2.447334682,3.691596152,152.1804482,19.15437289,2.41541433,5.091498727,145.5776194,19.87216055,2.486587011,4.368988869,163.5554571
52.7,22.11,2.4700003,4.12,162.45,20.51987717,2.441812794,3.742976996,151.6159953,20.57830265,2.416136542,5.048530154,145.169042,21.69611818,2.476316517,4.24223797,162.9156782
52.75,24.849998,2.4700003,3.87,161.78,22.70310473,2.442773497,3.683637491,151.0058826,22.73453167,2.416981889,5.017936163,144.8620915,24.33103384,2.476418088,4.076331458,162.2359846
52.8,27.79,2.45,3.6,160.01,25.05257055,2.431252073,3.674707702,149.4942776,25.11496658,2.415931831,5.012526191,144.2183536,27.20384642,2.455986214,5.431289861,160.4791278
52.85,30.39,2.44,3.49,158.67,27.13476097,2.426663017,3.816488155,148.300326,27.37113864,2.414865819,5.076245495,143.6104588,29.70782468,2.445818326,4.97986977,159.1195516
52.9,32.24,2.42,3.62,158.23001,28.62188651,2.415295235,4.099582252,147.8558649,29.10016882,2.412547108,5.240229896,143.355703,31.42699612,2.425339455,5.155315977,158.6679237
52.95,34.09,2.42,3.62,158.23001,30.091679,2.416106468,4.191343384,147.7779789,30.69282382,2.411346947,5.397372642,143.3143194,33.81119792,2.425448904,5.29530943,158.6375647
53,36.58,2.42,3.45,158.01,32.07443179,2.416800409,4.170018174,147.5396781,32.49593125,2.411043803,5.4791884,143.2451411,35.5918913,2.425582719,5.295750883,158.4192347
53.05,38.93,2.42,3.2099998,157.79,33.94654143,2.417892023,4.142709901,147.2625603,34.13900077,2.411497985,5.518011273,143.1476532,37.53491483,2.42575315,5.243381893,158.2024029
