Depth,Dense,Res,Ng,Cal,sTime,Temp,SP,FD3019g,Gamma
9.75,2.17,65535,11.97,163.67,2048,21.49,0,8.32,1.14
9.8,2.17,65535,12.38,163.52,2048,21.49,0,7.6,1.04
9.85,2.18,65535,12.87,163.49,2048,21.49,0,7.58,1.03
9.9,2.19,65535,13.45,163.54,2048,21.49,0,6.84,0.93
9.95,2.18,65535,13.46,163.67,2048,21.49,0,5.28,0.72
10,2.18,65535,13.38,163.75,2048,21.49,0,4.22,0.58
10.05,2.17,65535,13.17,163.71,2048,21.49,0,4.9,0.67
10.1,2.16,65535,13.11,163.59,2048,21.49,0,7.43,1.01
10.15,2.15,65535,13.26,163.51,2048,21.49,0,10.87,1.48
10.2,2.15,65535,13.47,163.51,2048,21.49,0,14.26,1.95
10.25,2.14,65535,14.35,163.5,2048,21.49,0,17.63,2.41
10.3,2.14,65535,15.16,163.27,2048,21.49,0,19.98,2.73
10.35,2.14,65535,16.3,162.78,2048,21.49,0,20.92,2.86
10.4,2.13,65535,16.69,162.19,2048,21.49,0,19.98,2.73
10.45,2.14,65535,17,161.75,2048,21.49,0,17.98,2.45
10.5,2.14,65535,16.54,161.55,2048,21.49,0,15.59,2.13
10.55,2.15,65535,16.51,161.6,2048,21.49,0,14.11,1.93
10.6,2.15,65535,16.41,161.79,2048,21.49,0,13.94,1.9
10.65,2.15,65535,16.38,162.15,2048,21.49,0,14.61,1.99
10.7,2.15,65535,15.56,162.57,2048,21.49,0,15.31,2.09
10.75,2.15,65535,14.59,163.03,2048,21.49,0,14.98,2.04
10.8,2.16,65535,14.23,163.52,2048,21.49,0,13.86,1.89
10.85,2.17,65535,13.76,164.02,2048,21.49,0,11.57,1.58
10.9,2.16,65535,13.4,164.58,2048,21.49,0,9.09,1.24
10.95,2.16,65535,12.43,165.1,2048,21.49,0,7.13,0.97
11,2.15,65535,11.97,165.49,2048,21.49,0,6.64,0.91
11.05,2.15,65535,11.48,165.76,2048,21.49,0,6.96,0.95
11.1,2.15,65535,11.29,165.94,2048,21.49,0,7.52,1.03
11.15,2.15,65535,10.75,166.16,2048,21.49,0,7.7,1.05
11.2,2.15,65535,10.21,166.46,2048,21.49,0,7.84,1.07
11.25,2.14,65535,9.99,166.88,2048,21.49,0,7.91,1.08
11.3,2.14,65535,10.24,167.34,2048,21.49,0,7.95,1.09
11.35,2.14,65535,10.85,167.73,2048,21.49,0,9.17,1.25
11.4,2.15,65535,10.42,167.99,2048,21.49,0,12.22,1.67
11.45,2.16,65535,9.85,168.03,2048,21.49,0,15.88,2.17
11.5,2.17,65535,8.85,167.78,2048,21.49,0,17.82,2.43
11.55,2.17,65535,8.34,167.34,2048,21.49,0,16.74,2.29
11.6,2.17,65535,7.84,166.8,2048,21.49,0,14.11,1.93
11.65,2.17,65535,7.64,166.43,2048,21.49,0,11.57,1.58
11.7,2.16,65535,7.7,166.11,2048,21.49,0,10.54,1.44
11.75,2.17,65535,7.87,165.8,2048,21.49,0,11.02,1.5
11.8,2.17,65535,7.71,165.27,2048,21.49,0,12.91,1.76
11.85,2.18,65535,7.12,164.75,2048,21.49,0,14.79,2.02
11.9,2.18,65535,6.37,164.32,2048,21.49,0,15.74,2.15
11.95,2.19,65535,5.9,164.08,2048,21.49,0,15.11,2.06
12,2.19,65535,5.85,163.9,2048,21.49,0,13.97,1.91
12.05,2.19,65535,5.95,163.69,2048,21.49,0,13.02,1.78
12.1,2.19,65535,6.16,163.25,2048,21.49,0,13,1.77
12.15,2.19,65535,6.42,162.63,2048,21.49,0,13.6,1.86
12.2,2.19,65535,6.72,161.85,2048,21.49,0,14.52,1.98
12.25,2.19,65535,6.83,161.12,2048,21.49,0,15.22,2.08
12.3,2.19,65535,6.91,160.51,2048,21.49,0,14.95,2.04
12.35,2.19,65535,7.35,160.2,2048,21.49,0,13.64,1.86
12.4,2.19,65535,8.25,160.1,2048,21.49,0,11.72,1.6
12.45,2.18,65535,9.32,160.24,2048,21.49,0,10.47,1.43
12.5,2.17,65535,10.31,160.38,2048,21.49,0,10.64,1.45
12.55,2.17,65535,10.93,160.48,2048,21.49,0,12.02,1.64
12.6,2.17,65535,11.25,160.49,2048,21.49,0,13.53,1.85
12.65,2.17,65535,11.24,160.46,2048,21.49,0,14.11,1.93
12.7,2.16,65535,11.1,160.5,2048,21.49,0,13.33,1.82
12.75,2.16,65535,10.87,160.64,2048,21.49,0,11.29,1.54
12.8,2.15,65535,10.39,161.08,2048,21.49,0,8.92,1.22
12.85,2.15,65535,9.85,161.81,2048,21.49,0,7.04,0.96
12.9,2.15,65535,9.45,162.58,2048,21.49,0,6.59,0.9
12.95,2.15,65535,9.46,163.06,2048,21.49,0,7.53,1.03
13,2.16,65535,9.58,163.22,2048,21.49,-0.01,9.82,1.34
13.05,2.16,65535,9.61,163.3,2048,21.49,-0.42,13.07,1.78
13.1,2.17,65535,9.24,163.44,2048,21.49,-2.09,16.38,2.24
13.15,2.18,65535,8.77,163.62,2048,21.49,-6.33,18.29,2.5
13.2,2.19,65535,8.2,163.86,2048,21.49,-13.66,18.33,2.5
13.25,2.2,65535,7.79,164.12,2048,21.49,-23.52,17.53,2.39
13.3,2.2,65535,7.4,164.22,2048,21.49,-34.15,17.17,2.34
13.35,2.21,65535,7.44,163.94,2048,21.49,-43.87,17.74,2.42
13.4,2.22,65535,7.77,163.32,2048,21.49,-51.23,18.98,2.59
13.45,2.22,65535,8.24,162.52,2048,21.49,-55.4,19.94,2.72
13.5,2.23,65535,8.4,161.79,2048,21.49,-56.34,20.39,2.78
13.55,2.23,65535,8.13,161.13,2048,21.49,-54.79,19.67,2.68
13.6,2.23,65535,7.71,160.5,2048,21.49,-52.33,18.21,2.49
13.65,2.22,65535,7.17,159.84,2048,21.49,-50.4,15.98,2.18
13.7,2.22,65535,7.18,159.19,2048,21.49,-50.06,13.44,1.83
