Depth,Dense,Res,Ng,Cal,SP
58.6,2.19,10.04,14.43,172.42,-209.73
58.65,2.2,9.86,14.78,172.81,-208.69
58.7,2.2,9.7,15.24,173.66,-207.37
58.75,2.21,9.6,15.6,174.58,-206.03
58.8,2.22,9.52,16.17,175.33,-204.85
58.85,2.23,9.49,16.76,175.8,-204.07
58.9,2.25,9.47,17.19,176,-203.79
58.95,2.26,9.48,17.19,175.78,-203.92
59,2.28,9.53,16.88,174.88,-204.11
59.05,2.3,9.62,16.61,173.73,-204.12
59.1,2.31,9.76,16.3,172.52,-203.76
59.15,2.33,9.91,15.78,171.38,-203.14
59.2,2.33,10.05,15.02,170.25,-202.35
59.25,2.34,10.17,14.16,169.26,-201.61
59.3,2.34,10.23,13.24,168.48,-201.02
59.35,2.33,10.25,12.68,167.99,-200.68
59.4,2.32,10.23,12.18,167.69,-200.55
59.45,2.3,10.2,12.17,167.58,-200.61
59.5,2.27,10.16,12.07,167.59,-200.83
59.55,2.25,10.16,12.05,167.66,-201.17
59.6,2.22,10.19,12.22,167.72,-201.61
59.65,2.2,10.24,12.66,167.74,-201.97
59.7,2.18,10.3,13.18,167.67,-202.24
59.75,2.16,10.36,13.97,167.57,-202.45
59.8,2.15,10.39,14.63,167.4,-202.8
59.85,2.14,10.38,15.32,167.22,-203.3
59.9,2.13,10.33,15.39,166.88,-203.84
59.95,2.13,10.23,15.34,166.38,-204.25
60,2.12,10.09,15.15,165.76,-204.54
60.05,2.12,9.94,14.5,165.14,-204.85
60.1,2.12,9.81,13.73,164.63,-205.38
60.15,2.12,9.72,12.85,164.18,-206.22
60.2,2.12,9.68,12.12,163.72,-207.37
60.25,2.13,9.66,11.39,163.18,-208.68
60.3,2.13,9.65,10.7,162.58,-209.94
60.35,2.13,9.65,10.22,162,-210.88
60.4,2.14,9.68,9.78,161.5,-211.27
60.45,2.14,9.72,9.2,161.1,-211
60.5,2.14,9.75,9,160.88,-210.1
60.55,2.15,9.76,8.84,160.8,-208.79
60.6,2.15,9.76,8.37,160.96,-207.35
60.65,2.16,9.76,7.84,161.38,-206.26
60.7,2.16,9.74,7.24,162.07,-205.8
60.75,2.17,9.7,7.42,162.96,-206.12
60.8,2.16,9.66,7.53,163.9,-206.95
60.85,2.16,9.61,7.79,164.79,-208.02
60.9,2.16,9.57,8.06,165.6,-209.08
60.95,2.16,9.53,8.37,166.3,-210.08
61,2.15,9.5,8.49,166.91,-211.05
61.05,2.15,9.47,8.57,167.4,-212.07
61.1,2.13,9.46,8.61,167.75,-213.18
61.15,2.12,9.46,8.64,167.92,-214.39
