Depth,Den,Cal,SP,Res,Ng
115.1,0,209.29,-558.56,19.32,13.66
115.15,0,208.18,-558.35,18.96,13.34
115.2,0,207.74,-558.12,18.6,12.6
115.25,0,207.74,-557.88,18.21,11.79
115.3,0,207.29,-557.65,17.74,10.48
115.35,0,206.63,-557.42,17.15,9.85
115.4,0,205.74,-557.23,16.41,9.27
115.45,0,204.63,-557.07,15.55,9.22
115.5,0,203.96,-556.97,14.73,8.7
115.55,0,203.3,-556.91,14.03,8.18
115.6,0,203.3,-556.9,13.61,7.38
115.65,0,203.07,-556.93,13.42,6.91
115.7,0,203.3,-556.98,13.48,6.46
115.75,0,203.74,-557.04,13.68,6.07
115.8,0,204.18,-557.1,13.98,5.71
115.85,0,204.63,-557.15,14.3,5.16
115.9,0,205.29,-557.17,14.64,4.77
115.95,0,205.52,-557.16,14.92,4.19
116,0,205.52,-557.13,15.14,3.59
116.05,0,205.52,-557.09,15.24,2.96
116.1,0,205.52,-557.04,15.18,2.51
116.15,0,205.52,-557,14.95,2.69
116.2,0,205.52,-556.97,14.63,3.04
116.25,0,205.96,-556.96,14.34,4.15
116.3,0,206.18,-556.99,14.18,4.84
116.35,0,206.4,-557.04,14.15,5.6
116.4,0,206.4,-557.12,14.22,5.69
116.45,0,206.63,-557.2,14.41,5.86
116.5,0,206.85,-557.28,14.72,6.11
116.55,0,206.63,-557.35,15.23,6.39
116.6,0,205.74,-557.38,15.84,6.9
116.65,0,205.07,-557.38,16.56,7.26
116.7,0,204.63,-557.32,17.25,7.63
116.75,0,204.41,-557.22,18.05,7.58
116.8,0,204.63,-557.07,18.7,6.84
116.85,0,203.96,-556.9,19.04,5.88
116.9,0,202.85,-556.71,18.71,5.35
116.95,0,202.19,-556.52,17.88,5.45
117,0,202.19,-556.34,16.64,5.76
117.05,0,202.19,-556.19,15.38,6.04
117.1,0,202.41,-556.07,14.27,6.16
117.15,0,202.19,-555.98,13.52,6.24
117.2,0,201.96,-555.91,13.06,5.88
117.25,0,201.74,-555.87,12.86,5.62
117.3,0,202.41,-555.84,12.81,5.5
117.35,0,203.52,-555.82,12.83,5.63
117.4,0,204.85,-555.79,12.87,6.03
117.45,0,205.52,-555.75,12.91,6.33
117.5,0,206.18,-555.7,12.96,6.67
117.55,0,207.07,-555.63,13.02,7.4
117.6,0,207.51,-555.56,13.02,8.21
117.65,0,208.4,-555.48,12.91,9.12
117.7,0,209.51,-555.42,12.66,9.67
117.75,0,211.29,-555.37,12.34,10.36
117.8,0,213.06,-555.36,12.03,11.01
117.85,0,216.84,-555.37,11.79,11.27
117.9,0,218.61,-555.42,11.65,11.26
117.95,0,217.95,-555.49,11.61,11.11
118,0,215.28,-555.59,11.69,11.27
118.05,0,212.4,-555.71,11.85,11.48
118.1,0,210.62,-555.84,12.11,11.75
118.15,0,210.4,-555.98,12.41,11.65
118.2,0,210.18,-556.11,12.72,11.48
118.25,0,209.96,-556.25,13.02,11.43
118.3,0,209.73,-556.38,13.34,11.38
118.35,0,209.73,-556.51,13.64,11.36
118.4,0,209.51,-556.62,13.93,10.95
118.45,0,209.29,-556.73,14.19,11.06
118.5,0,208.85,-556.83,14.44,10.8
118.55,0,208.4,-556.91,14.68,10.77
118.6,0,207.96,-557,14.85,10.12
118.65,0,207.51,-557.08,14.97,9.78
118.7,0,207.29,-557.17,15.02,9.38
118.75,0,207.07,-557.25,15.07,9.03
118.8,0,206.63,-557.33,15.15,8.48
118.85,0,206.18,-557.41,15.28,7.9
118.9,0,205.74,-557.48,15.47,7.88
118.95,0,205.07,-557.53,15.68,8.16
119,0,204.18,-557.57,15.88,8.61
119.05,0,203.74,-557.59,16.03,8.55
119.1,0,203.3,-557.6,16.08,8.43
119.15,0,203.07,-557.6,16.08,8.2
119.2,0,203.07,-557.58,16.03,8.13
119.25,0,203.52,-557.55,15.97,8.07
119.3,0,203.74,-557.52,15.89,8.04
119.35,0,203.96,-557.49,15.76,8.02
119.4,0,203.96,-557.48,15.57,8.21
119.45,0,204.18,-557.49,15.33,8.25
119.5,0,204.41,-557.53,15.1,8.29
119.55,0,204.18,-557.59,14.92,8.31
119.6,0,204.18,-557.68,14.86,8.32
119.65,0,203.96,-557.81,14.93,8.53
119.7,0,203.74,-557.95,15.11,8.57
119.75,0,203.3,-558.12,15.38,9.02
119.8,0,202.85,-558.32,15.69,9.12
119.85,0,202.41,-558.53,16.02,9.23
119.9,0,201.74,-558.77,16.33,9.07
119.95,0,200.85,-559,16.68,8.86
120,0,199.97,-559.23,17.15,8.59
120.05,0,199.52,-559.44,17.81,8.49
120.1,0,198.86,-559.62,18.53,8.62
120.15,0,198.63,-559.77,19.24,8.82
120.2,0,198.41,-559.87,19.79,9.09
120.25,0,198.41,-559.93,20.21,9.18
120.3,0,198.63,-559.95,20.47,9.25
120.35,0,198.86,-559.94,20.66,9.09
120.4,0,199.08,-559.89,20.73,9.07
120.45,0,199.52,-559.81,20.73,8.83
120.5,0,199.97,-559.71,20.63,8.58
120.55,0,200.41,-559.59,20.5,8.28
120.6,0,200.63,-559.46,20.29,7.97
120.65,0,200.85,-559.33,20.02,7.65
