Depth,Den,Ng,Cal,SP,Res
61.85,2.2,5.54,209.96,-146.46,14.99
61.9,2.19,5.42,210.4,-147.52,15.16
61.95,2.19,4.99,210.84,-148.7,15.2
62,2.19,4.48,210.62,-150.01,15.14
62.05,2.18,4.5,210.4,-151.4,14.98
62.1,2.17,4.8,209.96,-152.82,14.71
62.15,2.16,5.66,209.51,-154.14,14.33
62.2,2.15,6.49,209.73,-155.25,13.85
62.25,2.14,7.03,210.4,-156.07,13.26
62.3,2.13,7.3,211.29,-156.6,12.61
62.35,2.12,7.07,211.51,-156.88,12
62.4,2.11,7.27,211.29,-156.96,11.49
62.45,2.1,7.47,211.07,-156.96,11.13
62.5,2.09,8.15,211.07,-156.96,10.87
62.55,2.08,8.72,210.84,-157.01,10.69
62.6,2.08,8.97,210.84,-157.03,10.55
62.65,2.09,8.74,210.84,-156.96,10.44
62.7,2.09,8.34,211.07,-156.7,10.37
62.75,2.1,8.02,211.29,-156.31,10.33
62.8,2.1,7.67,211.73,-155.79,10.33
62.85,2.09,7.54,211.95,-155.19,10.33
62.9,2.09,7.84,212.18,-154.52,10.32
62.95,2.1,8.28,212.18,-153.93,10.32
63,2.1,8.62,211.95,-153.54,10.34
63.05,2.1,8.58,211.95,-153.5,10.36
63.1,2.1,8.44,212.18,-153.67,10.41
63.15,2.1,8.2,212.18,-153.94,10.44
63.2,2.09,8.33,211.95,-154.11,10.47
63.25,2.09,8.51,211.73,-154.25,10.48
63.3,2.09,8.77,211.51,-154.5,10.49
63.35,2.08,8.66,211.29,-155.07,10.49
63.4,2.08,8.48,210.84,-155.97,10.5
63.45,2.08,8.23,209.96,-157.07,10.5
63.5,2.08,7.94,209.07,-158.1,10.51
63.55,2.09,7.83,207.29,-158.88,10.53
63.6,2.1,7.56,205.96,-159.42,10.56
63.65,2.11,7.48,205.29,-159.84,10.62
63.7,2.12,7.41,205.07,-160.2,10.73
63.75,2.13,7.38,205.07,-160.39,10.88
63.8,2.13,7.16,205.07,-160.29,11.03
63.85,2.13,6.71,204.63,-159.84,11.16
63.9,2.14,6.57,204.41,-159.22,11.25
63.95,2.13,6.66,204.18,-158.64,11.36
64,2.12,6.85,203.52,-158.29,11.53
64.05,2.11,7.1,203.07,-158.22,11.79
64.1,2.09,7.19,202.63,-158.36,12.16
64.15,2.08,7.46,202.63,-158.49,12.58
64.2,2.07,7.53,202.41,-158.36,13.02
64.25,2.07,7.8,202.19,-157.83,13.38
64.3,2.06,7.87,201.74,-156.89,13.6
64.35,2.06,7.93,201.3,-155.69,13.73
64.4,2.06,7.96,200.85,-154.44,13.83
64.45,2.06,7.98,200.19,-153.44,13.99
64.5,2.07,7.99,199.3,-152.85,14.19
64.55,2.07,7.79,198.63,-152.89,14.29
64.6,2.09,7.36,197.97,-153.57,14.21
64.65,2.1,6.63,198.41,-154.95,13.88
64.7,2.1,5.8,199.3,-156.78,13.41
64.75,2.11,5.09,200.63,-158.8,12.94
64.8,2.11,4.98,201.08,-160.69,12.56
64.85,2.11,5.01,200.85,-162.29,12.31
64.9,2.11,5.2,200.63,-163.5,12.18
64.95,2.11,5.24,200.41,-164.27,12.12
65,2.11,5.49,200.41,-164.61,12.1
65.05,2.11,5.95,200.41,-164.53,12.04
65.1,2.11,6.29,200.41,-164.04,11.97
65.15,2.12,6.85,200.63,-163.2,11.87
65.2,2.13,7.43,200.63,-162.13,11.77
65.25,2.14,8.06,200.63,-161.13,11.74
65.3,2.15,8.7,200.63,-160.51,11.84
65.35,2.15,8.55,200.41,-160.68,12.1
65.4,2.15,8.25,199.97,-161.67,12.55
65.45,2.15,7.56,199.52,-163.34,13.16
65.5,2.14,7.16,199.08,-165.02,13.89
65.55,2.14,6.54,198.41,-166.14,14.64
65.6,2.14,5.74,197.97,-166.03,15.26
65.65,2.13,5.06,197.3,-164.54,15.71
65.7,2.13,4.36,196.64,-161.85,15.86
65.75,2.12,3.88,196.41,-158.73,15.84
65.8,2.1,3.45,196.86,-156.25,15.67
65.85,2.08,3.47,197.3,-155.19,15.42
65.9,2.07,3.58,198.41,-155.84,15.12
65.95,2.06,4.01,198.86,-157.8,14.83
66,2.06,4.32,198.63,-160.57,14.66
66.05,2.05,4.67,198.86,-163.54,14.68
66.1,2.05,4.8,199.3,-166.29,14.89
66.15,2.05,5.09,199.74,-168.6,15.22
66.2,2.05,5.38,200.19,-170.48,15.57
66.25,2.05,5.89,200.41,-172,15.87
