Depth,Den,Ng,SP,Res,Cal
115.2,0,12.6,-558.12,18.6,207.74
115.25,0,11.79,-557.88,18.21,207.74
115.3,0,10.48,-557.65,17.74,207.29
115.35,0,9.85,-557.42,17.15,206.63
115.4,0,9.27,-557.23,16.41,205.74
115.45,0,9.22,-557.07,15.55,204.63
115.5,0,8.7,-556.97,14.73,203.96
115.55,0,8.18,-556.91,14.03,203.3
115.6,0,7.38,-556.9,13.61,203.3
115.65,0,6.91,-556.93,13.42,203.07
115.7,0,6.46,-556.98,13.48,203.3
115.75,0,6.07,-557.04,13.68,203.74
115.8,0,5.71,-557.1,13.98,204.18
115.85,0,5.16,-557.15,14.3,204.63
115.9,0,4.77,-557.17,14.64,205.29
115.95,0,4.19,-557.16,14.92,205.52
116,0,3.59,-557.13,15.14,205.52
116.05,0,2.96,-557.09,15.24,205.52
116.1,0,2.51,-557.04,15.18,205.52
116.15,0,2.69,-557,14.95,205.52
116.2,0,3.04,-556.97,14.63,205.52
116.25,0,4.15,-556.96,14.34,205.96
116.3,0,4.84,-556.99,14.18,206.18
116.35,0,5.6,-557.04,14.15,206.4
116.4,0,5.69,-557.12,14.22,206.4
116.45,0,5.86,-557.2,14.41,206.63
116.5,0,6.11,-557.28,14.72,206.85
116.55,0,6.39,-557.35,15.23,206.63
116.6,0,6.9,-557.38,15.84,205.74
116.65,0,7.26,-557.38,16.56,205.07
116.7,0,7.63,-557.32,17.25,204.63
116.75,0,7.58,-557.22,18.05,204.41
116.8,0,6.84,-557.07,18.7,204.63
116.85,0,5.88,-556.9,19.04,203.96
116.9,0,5.35,-556.71,18.71,202.85
116.95,0,5.45,-556.52,17.88,202.19
117,0,5.76,-556.34,16.64,202.19
117.05,0,6.04,-556.19,15.38,202.19
117.1,0,6.16,-556.07,14.27,202.41
117.15,0,6.24,-555.98,13.52,202.19
117.2,0,5.88,-555.91,13.06,201.96
117.25,0,5.62,-555.87,12.86,201.74
117.3,0,5.5,-555.84,12.81,202.41
117.35,0,5.63,-555.82,12.83,203.52
117.4,0,6.03,-555.79,12.87,204.85
117.45,0,6.33,-555.75,12.91,205.52
117.5,0,6.67,-555.7,12.96,206.18
117.55,0,7.4,-555.63,13.02,207.07
117.6,0,8.21,-555.56,13.02,207.51
117.65,0,9.12,-555.48,12.91,208.4
117.7,0,9.67,-555.42,12.66,209.51
117.75,0,10.36,-555.37,12.34,211.29
117.8,0,11.01,-555.36,12.03,213.06
117.85,0,11.27,-555.37,11.79,216.84
117.9,0,11.26,-555.42,11.65,218.61
117.95,0,11.11,-555.49,11.61,217.95
118,0,11.27,-555.59,11.69,215.28
118.05,0,11.48,-555.71,11.85,212.4
118.1,0,11.75,-555.84,12.11,210.62
118.15,0,11.65,-555.98,12.41,210.4
118.2,0,11.48,-556.11,12.72,210.18
118.25,0,11.43,-556.25,13.02,209.96
118.3,0,11.38,-556.38,13.34,209.73
118.35,0,11.36,-556.51,13.64,209.73
118.4,0,10.95,-556.62,13.93,209.51
118.45,0,11.06,-556.73,14.19,209.29
118.5,0,10.8,-556.83,14.44,208.85
118.55,0,10.77,-556.91,14.68,208.4
118.6,0,10.12,-557,14.85,207.96
118.65,0,9.78,-557.08,14.97,207.51
118.7,0,9.38,-557.17,15.02,207.29
118.75,0,9.03,-557.25,15.07,207.07
118.8,0,8.48,-557.33,15.15,206.63
118.85,0,7.9,-557.41,15.28,206.18
