Depth,Ng,Cal,SP,Res,Den
109.15,6.09,223.05,-556.23,14.32,0
109.2,6.41,224.16,-556.19,13.72,0
109.25,6.5,222.61,-556.19,13.3,0
109.3,6.98,219.06,-556.22,13.01,0
109.35,7.3,217.5,-556.29,12.91,0
109.4,7.66,216.39,-556.38,12.95,0
109.45,7.99,216.17,-556.48,13.15,0
109.5,8.93,216.17,-556.58,13.46,0
109.55,9.98,216.84,-556.66,13.89,0
109.6,10.58,217.73,-556.72,14.32,0
109.65,10.71,219.95,-556.77,14.65,0
109.7,10.66,221.28,-556.81,14.77,0
109.75,11.08,221.5,-556.83,14.74,0
109.8,11.15,221.06,-556.86,14.65,0
109.85,11.24,220.61,-556.88,14.6,0
109.9,10.88,220.39,-556.89,14.63,0
109.95,10.62,220.61,-556.89,14.72,0
110,10.1,220.83,-556.88,14.84,0
110.05,9.75,221.06,-556.86,14.92,0
110.1,8.77,221.5,-556.83,14.95,0
110.15,8.1,221.28,-556.8,14.88,0
110.2,7.37,221.06,-556.77,14.78,0
110.25,7.5,220.17,-556.73,14.65,0
110.3,7.77,219.06,-556.68,14.55,0
110.35,8.25,218.61,-556.64,14.45,0
110.4,8.81,218.17,-556.58,14.41,0
110.45,9.01,218.17,-556.51,14.4,0
110.5,9.16,218.17,-556.44,14.42,0
110.55,9.04,218.17,-556.36,14.39,0
110.6,9.04,218.17,-556.28,14.25,0
110.65,9.02,217.73,-556.2,14,0
110.7,9.01,217.28,-556.12,13.72,0
110.75,8.81,216.62,-556.05,13.52,0
110.8,8.56,217.06,-555.97,13.39,0
110.85,8.07,217.73,-555.9,13.31,0
110.9,7.53,218.17,-555.83,13.21,0
110.95,6.92,218.17,-555.78,13.07,0
111,6.09,217.95,-555.74,12.87,0
111.05,5.8,218.17,-555.71,12.68,0
111.1,5.58,218.84,-555.7,12.56,0
111.15,6.08,219.28,-555.7,12.54,0
111.2,6.53,219.72,-555.7,12.58,0
111.25,7.32,220.17,-555.7,12.68,0
111.3,7.97,220.39,-555.71,12.78,0
111.35,8.66,220.17,-555.71,12.86,0
111.4,8.73,219.28,-555.7,12.89,0
111.45,8.68,217.95,-555.7,12.89,0
111.5,8.28,217.06,-555.68,12.9,0
111.55,8.19,216.62,-555.65,12.91,0
111.6,8.29,216.62,-555.61,12.95,0
111.65,8.5,217.06,-555.57,12.96,0
111.7,8.36,216.84,-555.51,12.93,0
111.75,7.97,215.95,-555.45,12.83,0
111.8,7.67,215.06,-555.38,12.66,0
111.85,7.53,213.73,-555.31,12.48,0
111.9,7.44,213.06,-555.24,12.3,0
111.95,6.99,212.62,-555.18,12.13,0
112,6.69,212.18,-555.13,12,0
112.05,6.34,211.73,-555.08,11.9,0
112.1,6,211.51,-555.05,11.81,0
112.15,5.87,211.51,-555.03,11.71,0
112.2,5.77,210.62,-555.02,11.6,0
112.25,5.53,209.73,-555.02,11.51,0
112.3,5.06,208.85,-555.04,11.48,0
112.35,4.52,208.18,-555.07,11.48,0
112.4,4.12,207.96,-555.11,11.52,0
112.45,3.93,208.18,-555.17,11.55,0
112.5,3.81,208.18,-555.25,11.61,0
112.55,4.35,207.96,-555.33,11.69,0
112.6,5.23,207.74,-555.43,11.83,0
112.65,6.32,207.51,-555.54,11.99,0
112.7,7.51,207.51,-555.66,12.17,0
112.75,8.17,207.96,-555.79,12.37,0
112.8,9.34,209.07,-555.92,12.59,0
112.85,10.1,209.96,-556.04,12.83,0
112.9,11.09,210.62,-556.17,13.07,0
112.95,11.24,210.84,-556.29,13.35,0
113,11.27,210.84,-556.39,13.62,0
113.05,11.1,210.84,-556.48,13.9,0
113.1,10.67,210.62,-556.55,14.15,0
113.15,10.16,209.96,-556.61,14.36,0
113.2,9.37,209.29,-556.66,14.51,0
113.25,8.7,208.85,-556.69,14.62,0
113.3,8.01,209.07,-556.72,14.68,0
113.35,7.54,209.96,-556.74,14.67,0
113.4,6.71,210.84,-556.75,14.61,0
113.45,6.25,211.73,-556.75,14.53,0
113.5,5.79,211.51,-556.75,14.48,0
113.55,6.21,210.4,-556.76,14.45,0
113.6,7,208.62,-556.76,14.42,0
113.65,8.04,207.51,-556.76,14.37,0
113.7,9.01,206.4,-556.77,14.28,0
113.75,9.41,205.74,-556.79,14.19,0
113.8,9.68,205.96,-556.82,14.11,0
113.85,9.82,206.4,-556.85,14.1,0
113.9,10.1,206.63,-556.88,14.13,0
113.95,10.38,206.85,-556.93,14.19,0
114,11.1,207.07,-556.99,14.22,0
114.05,11.3,207.07,-557.06,14.22,0
114.1,11.48,206.63,-557.18,14.21,0
114.15,11.16,205.52,-557.33,14.24,0
114.2,10.33,205.07,-557.53,14.27,0
114.25,9.3,205.52,-557.78,14.38,0
114.3,8.13,206.4,-558.06,14.61,0
114.35,7.88,207.29,-558.35,15.11,0
114.4,8,208.18,-558.64,15.84,0
114.45,8.38,209.51,-558.9,16.8,0
114.5,8.48,211.07,-559.11,17.82,0
114.55,8.37,213.29,-559.28,18.82,0
114.6,8.17,213.95,-559.4,19.64,0
114.65,8.71,212.4,-559.46,20.23,0
114.7,9.78,209.96,-559.49,20.48,0
114.75,11.1,210.18,-559.47,20.46,0
114.8,11.97,212.84,-559.43,20.26,0
114.85,12.61,214.4,-559.35,20.04,0
114.9,13.32,212.18,-559.24,19.92,0
114.95,13.99,209.96,-559.1,19.87,0
115,14.26,210.18,-558.94,19.81,0
115.05,14.05,210.4,-558.76,19.6,0
115.1,13.66,209.29,-558.56,19.32,0
115.15,13.34,208.18,-558.35,18.96,0
115.2,12.6,207.74,-558.12,18.6,0
115.25,11.79,207.74,-557.88,18.21,0
115.3,10.48,207.29,-557.65,17.74,0
115.35,9.85,206.63,-557.42,17.15,0
115.4,9.27,205.74,-557.23,16.41,0
115.45,9.22,204.63,-557.07,15.55,0
115.5,8.7,203.96,-556.97,14.73,0
115.55,8.18,203.3,-556.91,14.03,0
115.6,7.38,203.3,-556.9,13.61,0
115.65,6.91,203.07,-556.93,13.42,0
115.7,6.46,203.3,-556.98,13.48,0
115.75,6.07,203.74,-557.04,13.68,0
115.8,5.71,204.18,-557.1,13.98,0
115.85,5.16,204.63,-557.15,14.3,0
115.9,4.77,205.29,-557.17,14.64,0
115.95,4.19,205.52,-557.16,14.92,0
116,3.59,205.52,-557.13,15.14,0
116.05,2.96,205.52,-557.09,15.24,0
116.1,2.51,205.52,-557.04,15.18,0
116.15,2.69,205.52,-557,14.95,0
116.2,3.04,205.52,-556.97,14.63,0
116.25,4.15,205.96,-556.96,14.34,0
116.3,4.84,206.18,-556.99,14.18,0
116.35,5.6,206.4,-557.04,14.15,0
116.4,5.69,206.4,-557.12,14.22,0
116.45,5.86,206.63,-557.2,14.41,0
116.5,6.11,206.85,-557.28,14.72,0
116.55,6.39,206.63,-557.35,15.23,0
116.6,6.9,205.74,-557.38,15.84,0
116.65,7.26,205.07,-557.38,16.56,0
116.7,7.63,204.63,-557.32,17.25,0
116.75,7.58,204.41,-557.22,18.05,0
116.8,6.84,204.63,-557.07,18.7,0
116.85,5.88,203.96,-556.9,19.04,0
116.9,5.35,202.85,-556.71,18.71,0
116.95,5.45,202.19,-556.52,17.88,0
117,5.76,202.19,-556.34,16.64,0
117.05,6.04,202.19,-556.19,15.38,0
117.1,6.16,202.41,-556.07,14.27,0
117.15,6.24,202.19,-555.98,13.52,0
117.2,5.88,201.96,-555.91,13.06,0
117.25,5.62,201.74,-555.87,12.86,0
117.3,5.5,202.41,-555.84,12.81,0
117.35,5.63,203.52,-555.82,12.83,0
117.4,6.03,204.85,-555.79,12.87,0
117.45,6.33,205.52,-555.75,12.91,0
117.5,6.67,206.18,-555.7,12.96,0
117.55,7.4,207.07,-555.63,13.02,0
117.6,8.21,207.51,-555.56,13.02,0
117.65,9.12,208.4,-555.48,12.91,0
117.7,9.67,209.51,-555.42,12.66,0
117.75,10.36,211.29,-555.37,12.34,0
117.8,11.01,213.06,-555.36,12.03,0
117.85,11.27,216.84,-555.37,11.79,0
117.9,11.26,218.61,-555.42,11.65,0
117.95,11.11,217.95,-555.49,11.61,0
118,11.27,215.28,-555.59,11.69,0
118.05,11.48,212.4,-555.71,11.85,0
118.1,11.75,210.62,-555.84,12.11,0
118.15,11.65,210.4,-555.98,12.41,0
118.2,11.48,210.18,-556.11,12.72,0
118.25,11.43,209.96,-556.25,13.02,0
118.3,11.38,209.73,-556.38,13.34,0
118.35,11.36,209.73,-556.51,13.64,0
118.4,10.95,209.51,-556.62,13.93,0
118.45,11.06,209.29,-556.73,14.19,0
118.5,10.8,208.85,-556.83,14.44,0
118.55,10.77,208.4,-556.91,14.68,0
118.6,10.12,207.96,-557,14.85,0
118.65,9.78,207.51,-557.08,14.97,0
