Depth,Dense,Ng,Cal,SP,Res
71.9,2.38,8.11,151.7,-220.01,12.53
71.95,2.38,8.26,151.78,-220.49,12.26
72,2.37,8.47,151.95,-220.86,12.06
72.05,2.36,8.75,152.18,-221.25,11.96
72.1,2.35,9.04,152.43,-221.94,12.01
72.15,2.34,9.76,152.71,-223.11,12.26
72.2,2.34,10.56,153.04,-224.77,12.63
72.25,2.34,11.26,153.38,-226.55,13.16
72.3,2.34,11.77,153.69,-227.91,13.77
72.35,2.34,12.21,153.91,-228.36,14.46
72.4,2.34,12.59,154.06,-227.73,15.09
72.45,2.34,12.76,154.09,-226.2,15.64
72.5,2.34,12.87,154.08,-223.99,16.09
72.55,2.34,12.73,154.08,-221.66,16.44
72.6,2.34,12.52,154.17,-219.61,16.7
72.65,2.35,12.25,154.33,-218.43,16.83
72.7,2.35,12.35,154.51,-218.18,16.79
72.75,2.34,12.52,154.8,-218.76,16.59
72.8,2.33,12.38,155.25,-219.76,16.26
72.85,2.32,11.78,155.88,-221.04,15.91
72.9,2.31,11.03,156.59,-222.56,15.7
72.95,2.3,10.36,157.3,-224.42,15.82
73,2.29,9.68,157.89,-226.47,16.12
73.05,2.28,9.01,158.38,-228.45,16.45
73.1,2.28,8.54,158.86,-229.92,16.41
73.15,2.29,8.31,159.36,-230.65,16.08
73.2,2.29,8.37,159.87,-230.51,15.48
73.25,2.31,8.34,160.3,-229.67,14.74
73.3,2.32,8.34,160.75,-228.34,13.86
73.35,2.34,7.94,161.41,-226.79,12.93
73.4,2.36,7.66,162.25,-225.2,12.1
73.45,2.37,7.32,163.27,-223.83,11.51
73.5,2.39,7,164.21,-222.97,11.16
73.55,2.41,6.66,165.05,-222.91,11.03
73.6,2.42,6.33,165.68,-223.8,11.05
73.65,2.41,5.6,166.1,-225.51,11.24
73.7,2.4,4.79,166.36,-227.7,11.56
73.75,2.37,3.88,166.49,-230.05,12.05
73.8,2.36,3.33,166.57,-232.22,12.65
73.85,2.34,2.84,166.66,-234.07,13.37
73.9,2.32,2.04,166.74,-235.56,14.17
73.95,2.3,1.78,166.72,-236.81,15.15
74,2.29,1.56,166.51,-237.85,16.15
74.05,2.28,2.27,166.07,-238.63,17.03
74.1,2.26,2.97,165.5,-239.03,17.51
74.15,2.25,3.85,164.8,-239.1,17.54
74.2,2.23,4.56,164.15,-238.99,17.09
74.25,2.23,5.28,163.53,-238.73,16.28
74.3,2.23,5.97,162.83,-238.06,15.26
74.35,2.24,7.25,161.9,-236.71,14.23
74.4,2.25,8.64,160.68,-234.7,13.26
74.45,2.26,10.18,159.19,-232.55,12.5
74.5,2.27,10.97,157.09,-230.88,11.91
74.55,2.27,11.23,154.69,-230,11.5
74.6,2.28,11.24,152.54,-229.83,11.2
74.65,2.29,10.69,151.68,-230.11,11.02
74.7,2.3,9.99,152.27,-230.68,10.94
74.75,2.31,9.14,154.13,-231.54,10.98
74.8,2.32,8.42,156.67,-232.79,11.11
74.85,2.33,7.71,159.45,-234.39,11.32
74.9,2.34,7.03,162.03,-236.16,11.6
74.95,2.34,5.95,164.16,-237.8,11.99
75,2.34,5.2,165.73,-239.12,12.53
75.05,2.33,4.43,166.82,-239.95,13.18
75.1,2.32,4.53,167.53,-240.16,13.89
75.15,2.31,4.59,167.89,-239.61,14.66
75.2,2.31,5.02,167.93,-238.39,15.45
75.25,2.29,5.72,167.65,-236.79,16.15
75.3,2.28,6.55,167.16,-235.26,16.56
75.35,2.27,7.25,166.47,-234.22,16.66
75.4,2.26,7.56,165.66,-234.03,16.52
75.45,2.25,7.76,164.74,-234.82,16.34
75.5,2.24,8.07,163.86,-236.53,16.1
75.55,2.24,8.77,162.97,-238.71,15.78
75.6,2.23,9.57,161.82,-240.89,15.31
75.65,2.23,10.27,160.21,-242.31,14.82
75.7,2.22,10.57,158.5,-242.51,14.35
75.75,2.22,10.77,157.17,-241.37,14.01
75.8,2.22,10.47,156.65,-239.46,13.84
75.85,2.22,9.65,156.82,-237.57,13.83
75.9,2.22,8.62,157.32,-236.16,13.94
75.95,2.23,8.05,157.59,-235.15,14.07
76,2.24,8.14,157.25,-234.01,14.2
76.05,2.25,8.44,156.53,-232.62,14.35
76.1,2.26,9.12,155.83,-231.11,14.51
76.15,2.27,9.51,155.41,-229.92,14.64
76.2,2.28,9.93,155.19,-229.13,14.7
76.25,2.28,9.69,155.06,-228.46,14.66
76.3,2.29,9.52,154.9,-227.43,14.52
76.35,2.3,9.24,154.67,-225.77,14.36
76.4,2.31,9.35,154.37,-223.69,14.25
76.45,2.31,9.52,154.12,-221.86,14.26
76.5,2.32,9.97,154.06,-220.96,14.39
76.55,2.33,10.3,154.09,-221.33,14.6
76.6,2.33,10.66,154.17,-222.7,14.81
76.65,2.33,10.99,154.19,-224.49,14.97
76.7,2.33,10.93,154.21,-226.06,15.09
76.75,2.32,10.78,154.22,-227.24,15.21
76.8,2.33,10.14,154.22,-228.19,15.33
76.85,2.33,9.99,154.27,-229.46,15.45
76.9,2.33,9.83,154.28,-231.34,15.53
76.95,2.33,10.56,154.25,-233.87,15.56
77,2.33,11.48,153.98,-236.44,15.5
77.05,2.34,12.61,153.56,-238.24,15.42
77.1,2.34,13.22,153.03,-238.6,15.4
77.15,2.34,13.57,152.57,-237.42,15.52
77.2,2.34,13.76,152.15,-235.17,15.74
77.25,2.34,13.66,151.75,-232.47,15.97
77.3,2.34,13.28,151.28,-230.03,16.1
77.35,2.34,12.79,150.79,-228.39,16.07
77.4,2.33,12.82,150.33,-227.9,15.91
77.45,2.33,12.92,150.01,-228.51,15.74
77.5,2.32,13.15,149.86,-229.88,15.63
77.55,2.31,12.81,149.85,-231.53,15.62
77.6,2.31,12.39,149.95,-233.14,15.71
77.65,2.3,11.84,150.02,-234.51,15.85
77.7,2.29,11.85,150,-235.65,15.98
77.75,2.29,11.94,149.92,-236.56,15.96
77.8,2.29,12.16,149.82,-237.16,15.75
77.85,2.29,11.82,149.73,-237.22,15.35
77.9,2.29,11.8,149.65,-236.6,14.83
77.95,2.29,11.72,149.62,-235.24,14.33
78,2.3,11.5,149.6,-233.46,13.91
