Depth,Den,Ng,Cal,Res,SP
114.9,0,13.32,212.18,19.92,-559.24
114.95,0,13.99,209.96,19.87,-559.1
115,0,14.26,210.18,19.81,-558.94
115.05,0,14.05,210.4,19.6,-558.76
115.1,0,13.66,209.29,19.32,-558.56
115.15,0,13.34,208.18,18.96,-558.35
115.2,0,12.6,207.74,18.6,-558.12
115.25,0,11.79,207.74,18.21,-557.88
115.3,0,10.48,207.29,17.74,-557.65
115.35,0,9.85,206.63,17.15,-557.42
115.4,0,9.27,205.74,16.41,-557.23
115.45,0,9.22,204.63,15.55,-557.07
115.5,0,8.7,203.96,14.73,-556.97
115.55,0,8.18,203.3,14.03,-556.91
115.6,0,7.38,203.3,13.61,-556.9
115.65,0,6.91,203.07,13.42,-556.93
115.7,0,6.46,203.3,13.48,-556.98
115.75,0,6.07,203.74,13.68,-557.04
115.8,0,5.71,204.18,13.98,-557.1
115.85,0,5.16,204.63,14.3,-557.15
115.9,0,4.77,205.29,14.64,-557.17
115.95,0,4.19,205.52,14.92,-557.16
116,0,3.59,205.52,15.14,-557.13
116.05,0,2.96,205.52,15.24,-557.09
116.1,0,2.51,205.52,15.18,-557.04
116.15,0,2.69,205.52,14.95,-557
116.2,0,3.04,205.52,14.63,-556.97
116.25,0,4.15,205.96,14.34,-556.96
116.3,0,4.84,206.18,14.18,-556.99
116.35,0,5.6,206.4,14.15,-557.04
116.4,0,5.69,206.4,14.22,-557.12
116.45,0,5.86,206.63,14.41,-557.2
116.5,0,6.11,206.85,14.72,-557.28
116.55,0,6.39,206.63,15.23,-557.35
116.6,0,6.9,205.74,15.84,-557.38
116.65,0,7.26,205.07,16.56,-557.38
116.7,0,7.63,204.63,17.25,-557.32
116.75,0,7.58,204.41,18.05,-557.22
116.8,0,6.84,204.63,18.7,-557.07
116.85,0,5.88,203.96,19.04,-556.9
116.9,0,5.35,202.85,18.71,-556.71
116.95,0,5.45,202.19,17.88,-556.52
117,0,5.76,202.19,16.64,-556.34
117.05,0,6.04,202.19,15.38,-556.19
117.1,0,6.16,202.41,14.27,-556.07
117.15,0,6.24,202.19,13.52,-555.98
117.2,0,5.88,201.96,13.06,-555.91
117.25,0,5.62,201.74,12.86,-555.87
117.3,0,5.5,202.41,12.81,-555.84
117.35,0,5.63,203.52,12.83,-555.82
117.4,0,6.03,204.85,12.87,-555.79
117.45,0,6.33,205.52,12.91,-555.75
117.5,0,6.67,206.18,12.96,-555.7
117.55,0,7.4,207.07,13.02,-555.63
117.6,0,8.21,207.51,13.02,-555.56
117.65,0,9.12,208.4,12.91,-555.48
117.7,0,9.67,209.51,12.66,-555.42
117.75,0,10.36,211.29,12.34,-555.37
117.8,0,11.01,213.06,12.03,-555.36
117.85,0,11.27,216.84,11.79,-555.37
117.9,0,11.26,218.61,11.65,-555.42
117.95,0,11.11,217.95,11.61,-555.49
118,0,11.27,215.28,11.69,-555.59
118.05,0,11.48,212.4,11.85,-555.71
118.1,0,11.75,210.62,12.11,-555.84
118.15,0,11.65,210.4,12.41,-555.98
118.2,0,11.48,210.18,12.72,-556.11
118.25,0,11.43,209.96,13.02,-556.25
118.3,0,11.38,209.73,13.34,-556.38
118.35,0,11.36,209.73,13.64,-556.51
118.4,0,10.95,209.51,13.93,-556.62
118.45,0,11.06,209.29,14.19,-556.73
118.5,0,10.8,208.85,14.44,-556.83
118.55,0,10.77,208.4,14.68,-556.91
118.6,0,10.12,207.96,14.85,-557
118.65,0,9.78,207.51,14.97,-557.08
118.7,0,9.38,207.29,15.02,-557.17
118.75,0,9.03,207.07,15.07,-557.25
118.8,0,8.48,206.63,15.15,-557.33
118.85,0,7.9,206.18,15.28,-557.41
118.9,0,7.88,205.74,15.47,-557.48
118.95,0,8.16,205.07,15.68,-557.53
119,0,8.61,204.18,15.88,-557.57
119.05,0,8.55,203.74,16.03,-557.59
119.1,0,8.43,203.3,16.08,-557.6
119.15,0,8.2,203.07,16.08,-557.6
119.2,0,8.13,203.07,16.03,-557.58
119.25,0,8.07,203.52,15.97,-557.55
119.3,0,8.04,203.74,15.89,-557.52
119.35,0,8.02,203.96,15.76,-557.49
119.4,0,8.21,203.96,15.57,-557.48
119.45,0,8.25,204.18,15.33,-557.49
119.5,0,8.29,204.41,15.1,-557.53
119.55,0,8.31,204.18,14.92,-557.59
119.6,0,8.32,204.18,14.86,-557.68
119.65,0,8.53,203.96,14.93,-557.81
119.7,0,8.57,203.74,15.11,-557.95
119.75,0,9.02,203.3,15.38,-558.12
119.8,0,9.12,202.85,15.69,-558.32
119.85,0,9.23,202.41,16.02,-558.53
119.9,0,9.07,201.74,16.33,-558.77
119.95,0,8.86,200.85,16.68,-559
120,0,8.59,199.97,17.15,-559.23
120.05,0,8.49,199.52,17.81,-559.44
120.1,0,8.62,198.86,18.53,-559.62
120.15,0,8.82,198.63,19.24,-559.77
120.2,0,9.09,198.41,19.79,-559.87
120.25,0,9.18,198.41,20.21,-559.93
120.3,0,9.25,198.63,20.47,-559.95
120.35,0,9.09,198.86,20.66,-559.94
120.4,0,9.07,199.08,20.73,-559.89
120.45,0,8.83,199.52,20.73,-559.81
120.5,0,8.58,199.97,20.63,-559.71
120.55,0,8.28,200.41,20.5,-559.59
120.6,0,7.97,200.63,20.29,-559.46
120.65,0,7.65,200.85,20.02,-559.33
120.7,0,7.13,201.08,19.65,-559.19
120.75,0,6.76,201.08,19.22,-559.07
120.8,0,6.38,201.08,18.73,-558.97
120.85,0,6.63,201.08,18.28,-558.88
120.9,0,7,201.08,17.88,-558.81
120.95,0,7.73,200.85,17.62,-558.74
121,0,8.15,200.85,17.5,-558.68
121.05,0,8.97,200.85,17.57,-558.6
121.1,0,9.82,201.08,17.78,-558.5
121.15,0,10.76,201.74,18.04,-558.37
121.2,0,11.12,203.07,18.25,-558.2
121.25,0,11.78,205.96,18.35,-558
121.3,0,12.38,208.18,18.31,-557.77
121.35,0,13.23,212.18,18.04,-557.52
121.4,0,13.12,217.28,17.48,-557.26
121.45,0,12.87,224.39,16.61,-557.02
121.5,0,12.6,226.61,15.6,-556.82
121.55,0,12.29,223.28,14.59,-556.67
121.6,0,11.98,217.73,13.79,-556.57
121.65,0,11.45,212.18,13.25,-556.53
121.7,0,11.29,207.29,13,-556.54
121.75,0,11.35,204.63,12.97,-556.58
121.8,0,11.53,203.74,13.16,-556.64
121.85,0,11.38,203.96,13.48,-556.7
121.9,0,11.18,204.18,13.9,-556.73
121.95,0,10.91,204.41,14.31,-556.74
122,0,11.22,204.85,14.67,-556.73
122.05,0,10.83,205.52,14.83,-556.69
122.1,0,10.81,205.74,14.76,-556.64
122.15,0,10.53,205.52,14.49,-556.59
122.2,0,10.47,204.85,14.14,-556.55
122.25,0,9.6,204.63,13.81,-556.53
122.3,0,8.61,204.63,13.55,-556.53
122.35,0,7.84,204.63,13.44,-556.54
122.4,0,7.29,204.63,13.47,-556.56
122.45,0,6.83,204.85,13.66,-556.58
122.5,0,6.02,205.29,13.92,-556.6
122.55,0,5.57,205.96,14.17,-556.61
122.6,0,5.12,206.18,14.3,-556.61
122.65,0,5.14,205.74,14.31,-556.62
122.7,0,4.85,205.52,14.26,-556.64
122.75,0,4.6,205.29,14.19,-556.68
122.8,0,4.29,205.29,14.14,-556.73
122.85,0,4.58,205.29,14.14,-556.8
122.9,0,4.77,205.52,14.25,-556.88
122.95,0,5.07,205.52,14.43,-556.98
123,0,5.17,205.74,14.68,-557.08
123.05,0,5.65,206.18,14.96,-557.17
123.1,0,6.16,206.85,15.34,-557.23
123.15,0,6.36,207.51,15.83,-557.25
123.2,0,6.71,208.85,16.5,-557.23
123.25,0,7.01,209.73,17.09,-557.17
123.3,0,7.34,211.07,17.4,-557.06
123.35,0,7.27,211.73,17.19,-556.93
123.4,0,7.12,212.62,16.66,-556.78
123.45,0,7.08,212.62,15.94,-556.62
123.5,0,7.24,211.95,15.28,-556.47
123.55,0,7.46,210.84,14.69,-556.32
123.6,0,7.74,208.85,14.23,-556.19
123.65,0,7.84,205.29,13.78,-556.08
123.7,0,8.12,204.18,13.4,-555.99
123.75,0,8.39,203.52,13.08,-555.93
123.8,0,8.7,203.52,12.88,-555.89
123.85,0,8.82,203.52,12.74,-555.87
123.9,0,8.9,203.3,12.68,-555.86
123.95,0,9.14,203.07,12.67,-555.87
124,0,9.01,203.07,12.7,-555.89
124.05,0,8.83,202.85,12.74,-555.92
124.1,0,8.17,202.85,12.8,-555.95
124.15,0,7.6,202.85,12.86,-555.99
124.2,0,6.95,202.85,12.95,-556.03
124.25,0,6.31,202.85,13.05,-556.07
124.3,0,5.45,202.63,13.13,-556.12
124.35,0,4.55,202.85,13.18,-556.18
124.4,0,3.8,203.07,13.2,-556.25
124.45,0,3.47,203.3,13.23,-556.33
124.5,0,3.25,203.52,13.3,-556.41
124.55,0,3.15,203.96,13.46,-556.51
124.6,0,3.08,204.41,13.68,-556.6
124.65,0,3.25,205.07,13.96,-556.7
124.7,0,3.47,205.74,14.21,-556.8
124.75,0,3.74,206.85,14.41,-556.9
124.8,0,4.04,207.51,14.57,-556.99
124.85,0,4.56,208.85,14.76,-557.09
124.9,0,5.12,209.96,14.99,-557.17
124.95,0,5.34,210.84,15.27,-557.24
125,0,5.69,211.29,15.56,-557.29
125.05,0,6.01,211.51,15.81,-557.32
125.1,0,6.34,211.51,15.99,-557.33
125.15,0,6.47,211.73,16.06,-557.32
125.2,0,6.56,211.73,16.03,-557.3
125.25,0,6.61,211.51,15.94,-557.26
125.3,0,6.63,211.07,15.81,-557.22
125.35,0,6.65,210.84,15.69,-557.17
125.4,0,6.66,210.62,15.56,-557.12
125.45,0,6.46,210.4,15.42,-557.06
125.5,0,6.22,209.51,15.26,-557
125.55,0,6.14,208.18,15.11,-556.94
125.6,0,5.87,206.63,14.98,-556.87
125.65,0,5.6,206.18,14.89,-556.81
125.7,0,6.1,205.74,14.75,-556.75
125.75,0,6.74,205.29,14.61,-556.69
125.8,0,7.57,205.07,14.46,-556.63
125.85,0,7.66,205.07,14.32,-556.58
125.9,0,7.85,205.29,14.22,-556.52
125.95,0,8.3,205.74,14.16,-556.47
126,0,8.83,206.4,14.16,-556.41
126.05,0,9.43,207.74,14.17,-556.37
126.1,0,9.65,208.85,14.13,-556.34
126.15,0,9.82,210.4,13.99,-556.35
126.2,0,9.69,211.95,13.74,-556.38
126.25,0,9.5,212.84,13.53,-556.45
126.3,0,8.44,211.73,13.48,-556.53
126.35,0,7.39,210.4,13.69,-556.6
126.4,0,6.17,210.4,14.17,-556.66
126.45,0,6.11,210.84,14.78,-556.68
126.5,0,6.66,211.95,15.4,-556.66
126.55,0,7.15,212.84,15.86,-556.6
126.6,0,7.36,213.29,16.11,-556.5
126.65,0,7.1,214.17,16.04,-556.37
126.7,0,7.29,215.73,15.7,-556.22
126.75,0,7.48,219.28,15.14,-556.06
126.8,0,7.95,222.61,14.5,-555.9
126.85,0,8.49,225.05,13.91,-555.74
126.9,0,9.09,223.94,13.45,-555.6
126.95,0,9.92,221.94,13.09,-555.47
127,0,10.6,221.28,12.8,-555.35
127.05,0,11.3,220.83,12.53,-555.24
127.1,0,11.38,221.06,12.27,-555.15
127.15,0,11.54,221.5,12.06,-555.07
127.2,0,11.58,221.06,11.9,-555
127.25,0,11.62,220.83,11.79,-554.93
127.3,0,11.24,220.61,11.67,-554.88
127.35,0,10.77,221.94,11.54,-554.83
127.4,0,10.4,221.94,11.42,-554.8
127.45,0,10.24,220.61,11.31,-554.77
127.5,0,10.13,219.72,11.23,-554.75
127.55,0,10.07,221.28,11.13,-554.75
127.6,0,10.44,222.83,11.06,-554.74
127.65,0,10.7,223.28,11.03,-554.74
127.7,0,11.03,223.5,11.06,-554.74
127.75,0,10.95,225.72,11.1,-554.73
127.8,0,11.4,227.27,11.14,-554.73
