Depth,Den,Ng,Cal,SP,Res
60.7,2.34,11.73,145,-141.49,23.79
60.75,2.34,11.66,144.96,-141.82,22.94
60.8,2.33,11.48,144.94,-142.33,22.13
60.85,2.32,11.23,144.93,-143.01,21.48
60.9,2.32,11.54,144.88,-143.78,21.08
60.95,2.32,11.95,144.82,-144.51,20.85
61,2.31,12.5,144.75,-145.16,20.63
61.05,2.32,12.29,144.68,-145.77,20.33
61.1,2.32,12.16,144.61,-146.36,19.96
61.15,2.33,11.89,144.54,-146.85,19.49
61.2,2.33,11.81,144.56,-147.17,18.98
61.25,2.33,11.34,144.63,-147.33,18.44
61.3,2.33,10.83,144.74,-147.47,17.99
61.35,2.33,10.83,144.87,-147.72,17.68
61.4,2.33,11.13,144.96,-148.05,17.51
61.45,2.34,11.19,145.13,-148.24,17.48
61.5,2.35,10.87,145.36,-148.1,17.47
61.55,2.37,10.41,145.76,-147.62,17.47
61.6,2.38,10.26,146.28,-147.02,17.39
61.65,2.39,10.73,146.86,-146.39,17.34
61.7,2.4,11.4,147.4,-145.6,17.38
61.75,2.4,12.23,147.84,-144.47,17.69
61.8,2.4,12.53,148.21,-143.11,18.29
61.85,2.41,12.75,148.6,-141.98,19.2
61.9,2.41,12.86,148.97,-141.56,20.33
61.95,2.42,12.92,149.39,-141.97,21.47
62,2.42,12.76,149.81,-142.97,22.49
62.05,2.41,12.54,150.16,-144.23,23.25
62.1,2.41,12.06,150.45,-145.57,23.76
62.15,2.4,11.72,150.62,-146.86,24.07
62.2,2.39,11.36,150.8,-147.93,24.34
62.25,2.38,10.82,150.92,-148.53,24.74
62.3,2.38,10.03,151.07,-148.62,25.28
62.35,2.38,9.17,151.12,-148.44,25.89
62.4,2.38,9.04,151.16,-148.33,26.38
62.45,2.38,9.44,151.13,-148.44,26.68
62.5,2.38,10.1,151.14,-148.53,26.66
62.55,2.39,10.31,151.18,-148.23,26.41
62.6,2.4,10.28,151.27,-147.45,25.97
62.65,2.41,10.12,151.39,-146.27,25.47
62.7,2.41,10.28,151.52,-144.89,25.09
62.75,2.41,10.68,151.61,-143.36,24.98
62.8,2.41,11.19,151.66,-141.88,25.17
62.85,2.41,11.57,151.64,-140.73,25.46
62.9,2.41,11.75,151.56,-140.13,25.71
62.95,2.41,11.87,151.49,-140.11,25.93
63,2.41,12.12,151.38,-140.44,26.24
63.05,2.41,12,151.25,-140.88,26.67
63.1,2.41,11.82,151.11,-141.09,27.04
63.15,2.42,11.56,151.01,-140.86,27.26
63.2,2.42,11.48,150.97,-140,27.26
63.25,2.42,11.41,150.89,-138.65,26.99
63.3,2.42,11.58,150.82,-137.09,26.49
63.35,2.41,12.2,150.84,-135.71,25.85
63.4,2.42,12.96,150.97,-134.72,25.2
63.45,2.42,13.63,151.13,-134.26,24.56
63.5,2.43,14.12,151.27,-134.23,23.96
63.55,2.43,14.35,151.42,-134.4,23.6
63.6,2.44,13.69,151.66,-134.58,23.5
63.65,2.44,12.81,151.91,-134.73,23.66
63.7,2.44,12.3,152.41,-134.99,23.87
63.75,2.43,12.42,153.32,-135.41,24.08
63.8,2.42,12.74,154.75,-135.95,24.31
63.85,2.42,13.03,156.37,-136.46,24.56
63.9,2.41,12.76,157.65,-136.91,24.79
63.95,2.41,12.36,158.37,-137.31,24.95
64,2.41,11.02,158.59,-137.84,25.05
64.05,2.42,10.28,158.68,-138.58,25.07
64.1,2.42,9.46,158.84,-139.49,25.03
64.15,2.43,9.35,159.33,-140.29,24.91
64.2,2.43,9.16,159.81,-140.71,24.81
64.25,2.43,9.3,160.14,-140.58,24.7
64.3,2.43,9.69,159.95,-139.99,24.62
64.35,2.43,10.2,159.54,-139.15,24.54
64.4,2.43,10.58,159.06,-138.27,24.55
64.45,2.43,10.76,158.7,-137.51,24.66
64.5,2.43,10.87,158.13,-136.89,24.76
64.55,2.43,11.32,157.02,-136.38,24.72
64.6,2.43,12.04,155.26,-135.82,24.37
64.65,2.43,12.87,153.58,-135.13,23.69
64.7,2.42,12.78,152.31,-134.25,22.72
64.75,2.41,12.73,151.59,-133.26,21.51
64.8,2.39,12.5,151.06,-132.11,20.35
64.85,2.38,12.85,150.72,-130.89,19.43
64.9,2.37,12.87,150.45,-129.82,19.01
64.95,2.37,12.94,150.24,-129.26,19.04
65,2.37,12.56,149.97,-129.4,19.34
65.05,2.37,12.1,149.7,-130.27,19.75
65.1,2.36,11.53,149.41,-131.67,20.11
65.15,2.36,11.13,149.17,-133.4,20.41
65.2,2.36,10.73,148.93,-135.33,20.68
65.25,2.36,10.37,148.69,-137.31,20.98
65.3,2.35,10.22,148.51,-139.21,21.41
65.35,2.35,9.92,148.39,-140.81,21.91
65.4,2.34,9.63,148.28,-142.03,22.39
65.45,2.34,8.91,148.19,-142.95,22.69
65.5,2.34,7.91,148.06,-143.89,22.82
65.55,2.34,6.76,147.97,-144.97,22.9
65.6,2.34,6.33,147.89,-146.05,23.08
65.65,2.34,6.42,147.85,-146.72,23.26
65.7,2.34,6.75,147.83,-146.7,23.28
65.75,2.35,7.23,147.77,-145.98,23.07
65.8,2.35,8,147.71,-144.8,22.82
65.85,2.36,8.85,147.64,-143.52,22.71
65.9,2.36,9.57,147.61,-142.5,22.66
65.95,2.36,10.48,147.55,-142.07,22.49
66,2.36,11.41,147.49,-142.49,22.01
66.05,2.36,12.38,147.42,-143.84,21.36
