Den,Ng,Cal,SP,Res
2.33,12.77,154.9,-162.07,18.9
2.34,12.12,155.12,-162.74,18.72
2.34,11.78,155.57,-163.69,18.56
2.35,11.58,155.79,-164.6,18.54
2.37,11.67,155.79,-165.11,18.7
2.38,11.25,155.79,-165.07,19.07
2.38,10.78,156.01,-164.47,19.52
2.38,10.21,156.01,-163.55,20.15
2.38,10.2,156.01,-162.53,20.89
2.39,10.28,156.01,-161.69,21.7
2.39,10.7,156.23,-161.14,22.36
2.39,10.8,156.45,-161.04,22.81
2.39,10.9,156.23,-161.35,23.1
2.39,10.94,156.23,-162.06,23.35
2.39,10.77,156.45,-162.87,23.64
2.39,10.54,156.45,-163.5,23.91
2.39,10.46,156.68,-163.55,24.02
2.39,10.8,156.68,-162.93,23.94
2.4,11.25,156.9,-161.64,23.65
2.4,12.21,156.9,-160.01,23.28
2.39,12.89,157.34,-158.33,22.88
2.39,14.22,157.34,-156.94,22.55
2.4,15.02,157.56,-155.98,22.33
2.4,16.25,157.56,-155.48,22.26
2.41,17.05,157.56,-155.42,22.32
2.4,17.86,157.79,-155.78,22.46
2.4,18.38,158.01,-156.63,22.6
2.39,18.25,158.23,-157.93,22.73
2.39,17.93,158.23,-159.62,22.9
2.38,17.24,158.23,-161.47,23.27
2.37,16.83,158.23,-163.32,23.86
2.38,15.41,158.23,-164.93,24.57
2.38,14.25,158.23,-166.16,25.16
2.38,12.93,158.01,-166.93,25.58
2.38,12.64,157.79,-167.27,25.77
2.38,12.11,157.56,-167.34,25.82
2.38,11.95,157.34,-167.25,25.82
2.37,11.81,156.9,-167.11,25.89
2.37,12.35,156.45,-166.92,26.09
2.37,13.03,156.01,-166.62,26.4
2.36,13.88,155.57,-166.1,26.62
2.36,14.58,155.12,-165.31,26.6
2.36,15.49,154.9,-164.25,26.31
2.37,16.42,154.9,-163.03,25.88
2.37,16.98,154.68,-161.81,25.47
2.37,16.48,154.46,-160.74,25.2
2.37,15.89,154.01,-159.93,25.07
2.38,15.27,153.79,-159.44,25.06
2.39,15.23,153.35,-159.27,25.16
2.4,14.7,153.35,-159.41,25.3
2.41,14.19,153.12,-159.96,25.45
2.42,13.78,153.12,-160.94,25.5
2.43,13.59,153.12,-162.31,25.51
2.44,13.47,152.9,-163.78,25.51
2.45,13.21,152.9,-165.1,25.56
2.46,13.34,152.9,-166.08,25.62
2.47,13.51,153.12,-166.72,25.63
2.48,13.77,153.12,-166.98,25.54
2.49,14.46,153.12,-166.85,25.27
2.5,14.85,154.01,-166.28,24.84
2.51,15.26,154.68,-165.38,24.4
2.51,15.42,155.12,-164.23,24.3
2.51,16.14,155.34,-163,24.65
2.51,16.91,155.79,-161.81,25.41
2.52,17.41,156.23,-160.88,26.26
2.52,17.66,156.68,-160.33,27.17
2.52,17.82,157.34,-160.32,28.08
2.52,18.3,158.01,-160.72,28.96
2.52,18.82,158.9,-161.4,29.6
2.51,19.42,159.34,-162.13,29.92
2.49,19.05,160.23,-162.81,30.03
2.47,18.5,161.34,-163.35,30.16
2.45,17.71,163.11,-163.72,30.38
2.44,17.04,164,-163.84,30.66
2.43,16.15,164.67,-163.67,30.83
2.43,15.24,164.45,-163.22,30.63
2.42,14.68,164.45,-162.66,29.97
2.41,14.38,164.67,-162.24,28.76
2.4,14.01,164.89,-162.21,27.34
2.39,13.68,164.89,-162.59,25.74
2.39,13.54,165.11,-163.21,24.27
2.39,13.24,165.33,-163.57,22.91
2.4,12.96,165.78,-163.27,21.9
2.41,12.64,166,-161.98,21.21
2.41,12.52,166.89,-159.93,20.81
2.41,12.43,167.33,-157.51,20.51
2.41,11.99,168,-155.48,20.24
2.41,11.88,168.66,-154.2,20.1
2.41,11.58,169.11,-153.92,20.25
2.41,11.49,169.33,-154.41,20.75
2.41,10.81,169.33,-155.34,21.35
2.41,10.06,169.33,-156.39,21.85
2.42,9.18,169.33,-157.46,22.04
2.42,8.85,169.11,-158.6,21.96
