Depth,Den,Ng,Cal,SP,Res
110.15,0,8.1,221.28,-556.8,14.88
110.2,0,7.37,221.06,-556.77,14.78
110.25,0,7.5,220.17,-556.73,14.65
110.3,0,7.77,219.06,-556.68,14.55
110.35,0,8.25,218.61,-556.64,14.45
110.4,0,8.81,218.17,-556.58,14.41
110.45,0,9.01,218.17,-556.51,14.4
110.5,0,9.16,218.17,-556.44,14.42
110.55,0,9.04,218.17,-556.36,14.39
110.6,0,9.04,218.17,-556.28,14.25
110.65,0,9.02,217.73,-556.2,14
110.7,0,9.01,217.28,-556.12,13.72
110.75,0,8.81,216.62,-556.05,13.52
110.8,0,8.56,217.06,-555.97,13.39
110.85,0,8.07,217.73,-555.9,13.31
110.9,0,7.53,218.17,-555.83,13.21
110.95,0,6.92,218.17,-555.78,13.07
111,0,6.09,217.95,-555.74,12.87
111.05,0,5.8,218.17,-555.71,12.68
111.1,0,5.58,218.84,-555.7,12.56
111.15,0,6.08,219.28,-555.7,12.54
111.2,0,6.53,219.72,-555.7,12.58
111.25,0,7.32,220.17,-555.7,12.68
111.3,0,7.97,220.39,-555.71,12.78
111.35,0,8.66,220.17,-555.71,12.86
111.4,0,8.73,219.28,-555.7,12.89
111.45,0,8.68,217.95,-555.7,12.89
111.5,0,8.28,217.06,-555.68,12.9
111.55,0,8.19,216.62,-555.65,12.91
111.6,0,8.29,216.62,-555.61,12.95
111.65,0,8.5,217.06,-555.57,12.96
111.7,0,8.36,216.84,-555.51,12.93
111.75,0,7.97,215.95,-555.45,12.83
111.8,0,7.67,215.06,-555.38,12.66
111.85,0,7.53,213.73,-555.31,12.48
111.9,0,7.44,213.06,-555.24,12.3
111.95,0,6.99,212.62,-555.18,12.13
112,0,6.69,212.18,-555.13,12
112.05,0,6.34,211.73,-555.08,11.9
112.1,0,6,211.51,-555.05,11.81
112.15,0,5.87,211.51,-555.03,11.71
112.2,0,5.77,210.62,-555.02,11.6
112.25,0,5.53,209.73,-555.02,11.51
112.3,0,5.06,208.85,-555.04,11.48
112.35,0,4.52,208.18,-555.07,11.48
112.4,0,4.12,207.96,-555.11,11.52
112.45,0,3.93,208.18,-555.17,11.55
112.5,0,3.81,208.18,-555.25,11.61
112.55,0,4.35,207.96,-555.33,11.69
112.6,0,5.23,207.74,-555.43,11.83
112.65,0,6.32,207.51,-555.54,11.99
112.7,0,7.51,207.51,-555.66,12.17
112.75,0,8.17,207.96,-555.79,12.37
112.8,0,9.34,209.07,-555.92,12.59
112.85,0,10.1,209.96,-556.04,12.83
112.9,0,11.09,210.62,-556.17,13.07
112.95,0,11.24,210.84,-556.29,13.35
113,0,11.27,210.84,-556.39,13.62
113.05,0,11.1,210.84,-556.48,13.9
113.1,0,10.67,210.62,-556.55,14.15
113.15,0,10.16,209.96,-556.61,14.36
113.2,0,9.37,209.29,-556.66,14.51
113.25,0,8.7,208.85,-556.69,14.62
113.3,0,8.01,209.07,-556.72,14.68
113.35,0,7.54,209.96,-556.74,14.67
113.4,0,6.71,210.84,-556.75,14.61
113.45,0,6.25,211.73,-556.75,14.53
113.5,0,5.79,211.51,-556.75,14.48
113.55,0,6.21,210.4,-556.76,14.45
113.6,0,7,208.62,-556.76,14.42
113.65,0,8.04,207.51,-556.76,14.37
113.7,0,9.01,206.4,-556.77,14.28
113.75,0,9.41,205.74,-556.79,14.19
113.8,0,9.68,205.96,-556.82,14.11
113.85,0,9.82,206.4,-556.85,14.1
113.9,0,10.1,206.63,-556.88,14.13
113.95,0,10.38,206.85,-556.93,14.19
114,0,11.1,207.07,-556.99,14.22
114.05,0,11.3,207.07,-557.06,14.22
114.1,0,11.48,206.63,-557.18,14.21
114.15,0,11.16,205.52,-557.33,14.24
114.2,0,10.33,205.07,-557.53,14.27
114.25,0,9.3,205.52,-557.78,14.38
114.3,0,8.13,206.4,-558.06,14.61
114.35,0,7.88,207.29,-558.35,15.11
114.4,0,8,208.18,-558.64,15.84
114.45,0,8.38,209.51,-558.9,16.8
114.5,0,8.48,211.07,-559.11,17.82
114.55,0,8.37,213.29,-559.28,18.82
114.6,0,8.17,213.95,-559.4,19.64
114.65,0,8.71,212.4,-559.46,20.23
114.7,0,9.78,209.96,-559.49,20.48
114.75,0,11.1,210.18,-559.47,20.46
114.8,0,11.97,212.84,-559.43,20.26
114.85,0,12.61,214.4,-559.35,20.04
114.9,0,13.32,212.18,-559.24,19.92
114.95,0,13.99,209.96,-559.1,19.87
115,0,14.26,210.18,-558.94,19.81
115.05,0,14.05,210.4,-558.76,19.6
115.1,0,13.66,209.29,-558.56,19.32
115.15,0,13.34,208.18,-558.35,18.96
115.2,0,12.6,207.74,-558.12,18.6
115.25,0,11.79,207.74,-557.88,18.21
115.3,0,10.48,207.29,-557.65,17.74
115.35,0,9.85,206.63,-557.42,17.15
115.4,0,9.27,205.74,-557.23,16.41
115.45,0,9.22,204.63,-557.07,15.55
115.5,0,8.7,203.96,-556.97,14.73
115.55,0,8.18,203.3,-556.91,14.03
115.6,0,7.38,203.3,-556.9,13.61
115.65,0,6.91,203.07,-556.93,13.42
115.7,0,6.46,203.3,-556.98,13.48
115.75,0,6.07,203.74,-557.04,13.68
115.8,0,5.71,204.18,-557.1,13.98
115.85,0,5.16,204.63,-557.15,14.3
115.9,0,4.77,205.29,-557.17,14.64
115.95,0,4.19,205.52,-557.16,14.92
116,0,3.59,205.52,-557.13,15.14
116.05,0,2.96,205.52,-557.09,15.24
116.1,0,2.51,205.52,-557.04,15.18
116.15,0,2.69,205.52,-557,14.95
116.2,0,3.04,205.52,-556.97,14.63
116.25,0,4.15,205.96,-556.96,14.34
116.3,0,4.84,206.18,-556.99,14.18
116.35,0,5.6,206.4,-557.04,14.15
116.4,0,5.69,206.4,-557.12,14.22
116.45,0,5.86,206.63,-557.2,14.41
116.5,0,6.11,206.85,-557.28,14.72
116.55,0,6.39,206.63,-557.35,15.23
116.6,0,6.9,205.74,-557.38,15.84
