Depth,Den,Ng,Cal,SP,Res
62.55,2.3,10.91,128.7,-217.09,12.85
62.6,2.28,11.81,128.7,-217.12,13.33
62.65,2.26,12.54,128.48,-217.08,13.91
62.7,2.26,12.47,128.26,-217.34,14.44
62.75,2.25,12.2,127.82,-218.19,14.68
62.8,2.25,11.34,127.37,-219.66,14.68
62.85,2.25,10.91,126.71,-221.4,14.49
62.9,2.25,10.45,126.26,-223.02,14.19
62.95,2.25,10.27,126.04,-224.1,13.92
63,2.25,10.54,126.04,-224.49,13.84
63.05,2.25,10.96,125.6,-224.24,14.08
63.1,2.24,11.5,125.37,-223.67,14.57
63.15,2.25,11.69,125.37,-223.17,15.14
63.2,2.25,11.84,125.15,-222.96,15.57
63.25,2.27,11.71,125.15,-223.06,15.84
63.3,2.27,11.71,125.37,-223.24,15.93
63.35,2.27,11.68,125.37,-223.35,15.91
63.4,2.27,12.28,125.37,-223.35,15.76
63.45,2.27,12.39,125.37,-223.45,15.52
63.5,2.27,12.53,125.37,-223.78,15.27
63.55,2.28,12.59,125.15,-224.36,15.07
63.6,2.28,12.62,124.93,-224.93,15.05
63.65,2.29,12.64,124.49,-225.16,15.14
63.7,2.29,11.85,124.49,-224.84,15.3
63.75,2.3,11.1,124.26,-224.03,15.39
63.8,2.31,10.19,123.82,-223.01,15.33
63.85,2.32,9.66,123.38,-222.14,15.07
63.9,2.33,9.17,122.93,-221.63,14.65
63.95,2.34,8.77,122.71,-221.6,14.18
64,2.35,7.99,122.27,-222.03,13.74
64.05,2.37,7.35,121.16,-222.79,13.38
64.1,2.38,7.27,120.49,-223.69,13.08
64.15,2.38,7.52,120.05,-224.54,12.8
64.2,2.39,7.96,119.6,-225.25,12.53
64.25,2.41,7.9,119.38,-225.71,12.29
64.3,2.42,8.17,119.16,-225.8,12.09
64.35,2.43,8.41,119.16,-225.36,11.94
64.4,2.44,8.92,119.16,-224.47,11.84
64.45,2.44,9.27,119.16,-223.44,11.79
64.5,2.44,9.64,119.38,-222.65,11.75
64.55,2.44,9.98,119.16,-222.39,11.74
64.6,2.44,10.72,119.16,-222.7,11.75
64.65,2.43,11.54,119.16,-223.48,11.76
64.7,2.43,11.65,118.94,-224.59,11.76
64.75,2.42,10.84,118.49,-225.88,11.77
64.8,2.42,9.7,118.05,-227.18,11.84
64.85,2.41,8.71,117.83,-228.2,11.99
64.9,2.39,8.28,117.83,-228.64,12.27
64.95,2.38,8,118.27,-228.19,12.64
65,2.37,7.66,119.16,-226.78,13.04
65.05,2.37,7.33,120.71,-224.63,13.36
65.1,2.37,7,121.6,-222.39,13.55
65.15,2.37,7.07,122.04,-220.78,13.59
65.2,2.37,6.81,122.04,-220.32,13.48
65.25,2.37,6.58,122.27,-221.01,13.29
65.3,2.36,6.48,122.27,-222.4,13.05
65.35,2.35,6.61,122.49,-223.98,12.83
65.4,2.35,6.82,122.27,-225.37,12.62
65.45,2.35,6.89,121.82,-226.43,12.47
65.5,2.35,6.74,121.6,-227.11,12.33
65.55,2.35,6.53,121.82,-227.32,12.21
65.6,2.34,6.45,122.27,-227.16,12.07
65.65,2.33,6.4,122.49,-226.78,11.93
65.7,2.31,6.37,122.49,-226.49,11.8
65.75,2.3,6.55,122.49,-226.37,11.67
65.8,2.28,6.79,122.71,-226.55,11.56
65.85,2.27,7.07,122.93,-227.06,11.47
65.9,2.27,6.97,123.15,-228.1,11.42
65.95,2.27,7.41,123.38,-229.61,11.38
66,2.27,7.88,123.38,-231.49,11.34
66.05,2.27,8.66,123.38,-233.46,11.31
66.1,2.27,9.11,123.38,-235.19,11.29
66.15,2.26,9.55,123.38,-236.34,11.28
66.2,2.26,9.73,123.38,-236.72,11.28
66.25,2.26,9.86,122.93,-236.48,11.33
66.3,2.26,9.92,122.49,-236.04,11.43
66.35,2.26,9.56,121.82,-235.72,11.57
66.4,2.26,9.7,121.6,-235.56,11.76
66.45,2.27,9.85,121.16,-235.31,11.98
66.5,2.27,10.31,121.16,-234.66,12.17
66.55,2.28,10.23,121.16,-233.46,12.27
66.6,2.29,10.11,120.93,-231.81,12.29
66.65,2.3,10.27,120.49,-230.06,12.3
66.7,2.31,10.28,120.05,-228.47,12.36
66.75,2.31,10.31,120.05,-227.24,12.47
66.8,2.31,10.52,120.49,-226.38,12.56
66.85,2.32,10.77,120.93,-225.97,12.55
66.9,2.34,11.06,121.16,-226.04,12.43
66.95,2.36,10.96,121.16,-226.75,12.28
67,2.38,10.6,120.71,-227.99,12.15
67.05,2.38,10.11,120.71,-229.59,12.09
67.1,2.38,9.74,120.49,-231.11,12.11
67.15,2.37,9.77,120.49,-232.26,12.2
67.2,2.37,9.9,120.49,-232.87,12.33
67.25,2.37,9.74,120.49,-233.04,12.45
67.3,2.38,9.73,120.71,-232.93,12.56
67.35,2.37,9.69,120.93,-232.59,12.63
67.4,2.37,9.68,121.16,-232.02,12.66
67.45,2.37,9.48,121.6,-231.31,12.67
67.5,2.36,9.23,122.04,-230.72,12.65
67.55,2.36,9.14,122.93,-230.41,12.62
67.6,2.35,9.28,123.82,-230.3,12.61
67.65,2.34,9.48,124.49,-229.96,12.65
67.7,2.33,9.55,124.93,-229.07,12.75
67.75,2.33,9.21,124.93,-227.64,12.91
67.8,2.32,8.75,124.93,-226.12,13.14
67.85,2.31,8.19,124.49,-225.09,13.39
67.9,2.3,7.79,124.49,-224.93,13.62
67.95,2.29,7.4,124.71,-225.72,13.77
68,2.29,7.04,124.93,-227.2,13.83
68.05,2.29,6.89,124.93,-229.03,13.83
68.1,2.3,6.79,124.26,-230.76,13.79
68.15,2.31,6.93,123.6,-232.07,13.7
68.2,2.31,6.74,123.38,-232.64,13.47
68.25,2.31,6.54,123.38,-232.37,13.14
68.3,2.31,6.46,123.15,-231.39,12.78
68.35,2.3,6.6,122.27,-230.02,12.51
68.4,2.3,7.01,120.27,-228.68,12.36
68.45,2.29,7.52,119.6,-227.56,12.3
68.5,2.29,8.11,119.38,-226.77,12.3
68.55,2.29,8.53,119.16,-226.05,12.33
68.6,2.29,8.53,118.94,-225.1,12.37
68.65,2.29,8.61,118.49,-223.68,12.39
68.7,2.28,8.63,118.05,-222.03,12.31
68.75,2.28,8.65,117.6,-220.68,12.13
68.8,2.27,8.46,117.16,-220.16,11.89
68.85,2.27,8.22,117.16,-220.71,11.65
68.9,2.26,7.94,117.16,-222.09,11.43
68.95,2.26,7.63,117.16,-223.96,11.26
69,2.27,7.31,117.16,-225.83,11.17
69.05,2.29,7.39,117.16,-227.45,11.2
69.1,2.31,7.54,116.94,-228.58,11.31
69.15,2.33,8.19,116.94,-229.2,11.46
69.2,2.34,9.15,116.94,-229.39,11.63
69.25,2.35,10.27,116.94,-229.46,11.79
69.3,2.36,11.08,116.94,-229.82,11.97
69.35,2.37,11.87,116.94,-230.6,12.13
69.4,2.38,12.59,116.72,-231.63,12.31
69.45,2.39,13.29,116.72,-232.44,12.5
69.5,2.4,13.78,116.72,-232.88,12.69
69.55,2.4,14.21,116.72,-233.03,12.89
69.6,2.41,14.2,117.16,-233.27,13.2
69.65,2.42,13.88,118.05,-233.72,13.74
69.7,2.42,13.42,118.49,-234.42,14.56
69.75,2.43,12.86,119.16,-235.29,15.49
69.8,2.43,12.06,119.82,-236.34,16.33
69.85,2.43,11.18,120.49,-237.59,16.92
69.9,2.43,10.25,120.93,-238.95,17.26
69.95,2.43,9.29,121.16,-240.26,17.41
70,2.43,8.31,121.6,-241.22,17.45
70.05,2.44,7.52,121.82,-241.58,17.42
70.1,2.44,6.77,121.82,-241.21,17.38
70.15,2.45,6.06,121.6,-240.34,17.39
70.2,2.44,5.56,121.38,-239.25,17.5
70.25,2.44,5.12,120.93,-238.26,17.59
70.3,2.43,4.74,120.27,-237.58,17.47
70.35,2.43,4.77,120.27,-237.32,17.02
70.4,2.42,5.1,120.05,-237.51,16.35
70.45,2.41,5.58,119.82,-237.92,15.76
70.5,2.4,6.14,119.82,-238.33,15.42
70.55,2.39,6.94,119.82,-238.48,15.35
70.6,2.39,7.82,119.82,-238.43,15.49
